hash,Status,method,block_number,DateTime,from_address,SenderLable,to_address,ReceiverLable,value,Value,gas_price
0x76648355ca29cec5c219b70aae4598d001f862330ae16ef44125b3cf6bf77bc6,Success,Transfer,20678363,2024-09-04 16:18:11,0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5,beaverbuild,0xd6e4aa932147a3fe5311da1b67d9e73da06f9cef,Mantle: Execution Layer Receiver,0.072313911 ETH,$177.43,0.00029852
0xf3b84a023bdbbd8e0d3ea4b6a3f48bf7e5da0439fe5e3d145657f8e44ae2ba59,Success,Transfer,20678363,2024-09-04 16:18:11,0x76841e4dd7c555e31c04df380494bf62045ea4fd,,0x6cbaebafdac4a85949ea569232e5524894f250ea,,0.00058334 ETH,$1.43,0.00022264
0x271019c16c98f1896e9bc9ec2785b81264227ac7a37977c8ec26ebcbae304e8e,Success,Transfer,20678363,2024-09-04 16:18:11,0x5507835ff7414d83734d3dc860754d4e5349bc28,,0x8edbf506f82fb6c9952f1ffd00f45d64cc5f8e1e,,0.000148 ETH,$0.36,0.00022265
0xaec68458f581cf7892013098462e8e4c8ae9fe614614e6a6fe883c393dca18fe,Success,Transfer,20678363,2024-09-04 16:18:11,0x3c92ab156a1db7a2bc2b932132c64680c930c312,,0x81aeb76401ee0abf883dd1327480be6f8a7f7dcc,,0.000269 ETH,$0.66,0.00022265
0xc6e5b48687e88cebe95985360f20611f104cc445e650d573909c1e2a98d756e7,Error in Main Txn : execution reverted,Approve,20678363,2024-09-04 16:18:11,0xf77511a59eb7245090d943d0970064878caf741b,,0xdac17f958d2ee523a2206206994597c13d831ec7,Tether: USDT Stablecoin,0 ETH,$0.00,0.00028464
0x957e39ea4d0f6dafe50649c3f9d4ed8de32f45d005222ca1bdf3af1f7ba5acf2,Error in Main Txn : execution reverted,Swap,20678363,2024-09-04 16:18:11,0x32613c91a9e4e1d5794a41d214e93a14e818b0ae,,0x1111111254eeb25477b68fb85ed929f73a960582,Aggregation Router V5,0 ETH,$0.00,0.00150545
0xc055f03e4b35933cc609ae7f7c18aa3458abe175c8e4737fe5720a42cad25ca3,Success,Approve,20678363,2024-09-04 16:18:11,0x32613c91a9e4e1d5794a41d214e93a14e818b0ae,,0x04c17b9d3b29a78f7bd062a57cf44fc633e71f85,Impt: IMPT Token,0 ETH,$0.00,0.00049768
0xdf6be069744c5688a5d0ea3e079fb70d7293ef2854bc7135b7b65a33c8b63081,Success,Transfer,20678363,2024-09-04 16:18:11,0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,Bitrue,0x4cff49d0a19ed6ff845a9122fa912abcfb1f68a6,,0 ETH,$0.00,0.00057041
0x05ec8689d1081ba512a344544dea989f754ea88114e1e963c1ebc1944285e21a,Success,Transfer,20678363,2024-09-04 16:18:11,0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,Bitrue,0x4a220e6096b25eadb88358cb44068a3248254675,Quant: QNT Token,0 ETH,$0.00,0.00055099
0x36bed422ba22ffb104a46d430c54e59bc2046e73423d55e5be72e7ef00f01b20,Success,Claim,20678363,2024-09-04 16:18:11,0xa7b1872cfdd2a382d011e3796caaa838e54fdd0d,,0x308c3f1c73b624aa8534158b0a4d6a34acaf5b2d,,0 ETH,$0.00,0.00095857
0x212a66757a1080700b78c1ceb3ccd90f37703d946d54746e46dde3923d6a6042,Success,Ccip Send,20678363,2024-09-04 16:18:11,0x09e4897e068a5fc4fc22d86867fc1906e6cde563,,0x80226fc0ee2b096224eeac085bb9a8cba1146f7d,Chainlink: CCIP Router,0.000239868 ETH,$0.59,0.00131291
0x5a2c9fb1731192570b515bdfe8ade12c66f57156296ae1aa6ad41c81d0e353b9,Success,Redeem From Validators,20678363,2024-09-04 16:18:11,0x3af4a49c8e2fcaf33fd3389543b80d320fcc9091,,0x4befa2aa9c305238aa3e0b5d17eb20c045269e9d,,0 ETH,$0.00,0.00162517
